Regatta,Name,Event,Gender,Finish
SHOP,Joe,50+,M,1
SHOP,Sally,50+,F,1
SHOP,Beth,50+,F,3
SHOP,Jim,50+,M,4
SHOP,Charlie,40+,M,1
SHOP,Becky,40+,F,2
SHOP,Pete,40+,M,3
SHOP,Sam,30+,M,1
SHOP,Harry,30+,M,2
SHOP,Tom,30+,M,3
SHOP,Alice,30+,F,4
HoCR,Joe,50+,M,1
HoCR,Sally,50+,F,1
HoCR,Beth,50+,F,3
HoCR,Jim,50+,M,4
HoCR,Charlie,40+,M,1
HoCR,Becky,40+,F,2
HoCR,Pete,40+,M,3
HoCR,Sam,30+,M,1
HoCR,Harry,30+,M,2
HoCR,Tom,30+,M,3
HoCR,Alice,30+,F,4
HOSR,Joe,50+,M,1
HOSR,Sally,50+,F,1
HOSR,Beth,50+,F,3
HOSR,Jim,50+,M,4
HOSR,Charlie,40+,M,1
HOSR,Becky,40+,F,2
HOSR,Pete,40+,M,3
HOSR,Sam,30+,M,1
HOSR,Harry,30+,M,2
HOSR,Tom,30+,M,3
HOSR,Alice,30+,F,4
HOTO,Joe,50+,M,1
HOTO,Sally,50+,F,1
HOTO,Beth,50+,F,3
HOTO,Jim,50+,M,4
HOTO,Charlie,40+,M,1
HOTO,Becky,40+,F,2
HOTO,Pete,40+,M,3
HOTO,Sam,30+,M,1
HOTO,Harry,30+,M,2
HOTO,Tom,30+,M,3
HOTO,Alice,30+,F,4
